date,ivix
2017/11/29,15.68
2017/11/30,16.8
2017/12/1,17.99
2017/12/4,16.03
2017/12/5,15.33
2017/12/6,16.24
2017/12/7,15.75
2017/12/8,15.03
2017/12/11,14.68
2017/12/12,15.24
2017/12/13,15.15
2017/12/14,15
2017/12/15,15.18
2017/12/18,15.35
2017/12/19,15.12
2017/12/20,15.31
2017/12/21,14.76
2017/12/22,14.69
2017/12/25,15.32
2017/12/26,15.13
2017/12/27,16.79
2017/12/28,15.51
2017/12/29,14.27
2018/1/2,15.03
2018/1/3,14.81
2018/1/4,14.67
2018/1/5,14.45
2018/1/8,14.81
2018/1/9,14.27
2018/1/10,14.64
2018/1/11,14.95
2018/1/12,14.32
2018/1/15,15.46
2018/1/16,15.99
2018/1/17,16.9
2018/1/18,18.89
2018/1/19,18.88
2018/1/22,18.88
2018/1/23,19.28
2018/1/24,21.04
2018/1/25,18.78
2018/1/26,17.11
2018/1/29,18.49
2018/1/30,16.08
2018/1/31,17.15
2018/2/1,16.79
2018/2/2,17.03
2018/2/5,18.55
2018/2/6,22.2
2018/2/7,24.06
2018/2/8,25.67
2018/2/9,33.06
2018/2/12,28.19
2018/2/13,27.53
