,Date,vix
164,2015-12-28,25.139694385431937
165,2015-12-29,24.46986889869458
166,2015-12-30,24.644381724135375
167,2015-12-31,25.17737359968072
168,2016-01-04,26.19289906209248
169,2016-01-05,29.067587171529347
170,2016-01-06,28.45694663133512
171,2016-01-07,23.643895728287212
172,2016-01-08,32.0121463557188
173,2016-01-11,29.86676719900886
174,2016-01-12,32.42320815356354
175,2016-01-13,31.180908592877156
176,2016-01-14,34.28196770097329
177,2016-01-15,31.606295302820886
178,2016-01-18,33.77078602789834
179,2016-01-19,33.85599312366728
180,2016-01-20,31.861689458909236
181,2016-01-21,29.817843430818492
182,2016-01-22,30.63508856675729
183,2016-01-25,31.2204115545736
184,2016-01-26,27.027726965342048
185,2016-01-27,34.95729892219232
186,2016-01-28,33.86661270072347
187,2016-01-29,35.19322312248967
188,2016-02-01,32.88067880505499
189,2016-02-02,31.79938777737793
190,2016-02-03,31.469792654879097
191,2016-02-04,31.179890546114148
192,2016-02-05,31.981994593020357
193,2016-02-15,34.008163069056735
194,2016-02-16,33.31188532620943
195,2016-02-25,29.24947637693269
196,2016-02-26,29.08741338108671
197,2016-02-29,28.996596006116466
198,2016-03-01,28.120947597562296
199,2016-03-02,29.36208099336471
200,2016-03-03,29.877076802451658
201,2016-03-04,29.703862242955275
202,2016-03-07,30.733180004281387
203,2016-03-08,30.339588931981844
204,2016-03-09,30.30647745639043
205,2016-03-10,30.39641708899908
206,2016-03-11,30.3448080074869
207,2016-03-14,29.967842556919177
208,2016-03-15,29.50705525928818
209,2016-03-24,31.660808638088678
210,2016-03-25,28.986635059794448
211,2016-03-28,27.96242697546733
212,2016-03-29,28.088302719919874
213,2016-03-30,27.45110343697663
214,2016-03-31,27.78922751211669
215,2016-04-01,27.296846519792528
216,2016-04-05,26.849707475617762
217,2016-04-06,26.824816030066984
218,2016-04-07,25.63310204953059
219,2016-04-08,24.53701050742956
220,2016-04-11,24.227027601091397
221,2016-04-12,23.50188610385767
222,2016-04-13,23.369484845320578
223,2016-04-14,22.824850037478985
224,2016-04-15,22.851304714517408
225,2016-04-18,23.05734455683743
226,2016-04-19,22.393424750266806
227,2016-04-20,21.11132593521331
228,2016-04-21,21.215059893902556
229,2016-04-22,20.926789695424052
230,2016-04-25,22.077090111498894
231,2016-04-26,22.466558189939402
232,2016-04-27,22.437122230980574
233,2016-04-28,21.434318372122796
234,2016-04-29,20.63584908456251
235,2016-05-03,20.58782512413286
236,2016-05-04,20.045863325077093
237,2016-05-05,19.73906604786447
238,2016-05-06,20.450109646923238
239,2016-05-09,23.116335436843585
240,2016-05-10,21.975858620871243
241,2016-05-11,20.610916370132713
242,2016-05-12,20.68311661391486
243,2016-05-13,20.02384461493013
244,2016-05-16,19.742184897588995
245,2016-05-17,19.296636686389096
246,2016-05-26,16.054345671145583
247,2016-05-27,15.509336759197211
248,2016-05-30,15.839867457774778
249,2016-05-31,18.25626194213685
250,2016-06-01,18.155936364370607
251,2016-06-02,17.89078090646383
252,2016-06-03,17.991735419699108
253,2016-06-06,18.143722390867907
254,2016-06-07,17.96839058003542
255,2016-06-08,18.249739514355173
256,2016-06-13,19.505376235817213
257,2016-06-14,18.976757422510055
258,2016-06-23,18.01699556480708
259,2016-06-24,18.196728508248313
260,2016-06-27,17.476126884146055
261,2016-06-28,16.6440205521499
262,2016-06-29,16.113994412216957
263,2016-06-30,15.727495368774333
264,2016-07-01,15.444900762091834
265,2016-07-04,15.345413793919729
266,2016-07-05,15.861898610620823
267,2016-07-06,15.837597124431982
268,2016-07-07,16.469273742428058
269,2016-07-08,16.446462961405718
270,2016-07-11,16.226023761559873
271,2016-07-12,15.892335485686756
272,2016-07-13,17.00581313980162
273,2016-07-14,16.768029769718453
