"SgnDate","Term","Shibor"
"2006-12-05","14天","2.52520"
"2006-12-06","30天","2.72910"
"2006-12-06","6个月","2.85450"
"2006-12-06","90天","2.80930"
"2006-12-06","9个月","2.92470"
"2006-12-06","7天","2.29590"
"2006-12-06","1年","3.00080"
"2006-12-06","1天","2.06400"
"2006-12-06","14天","2.46740"
"2006-12-07","30天","2.71410"
"2006-12-07","6个月","2.85630"
"2006-12-07","14天","2.40070"
"2006-12-07","1年","3.00080"
"2006-12-07","1天","2.00630"
"2006-12-07","7天","2.26430"
"2006-12-07","90天","2.80940"
"2006-12-07","9个月","2.92590"
"2006-12-08","14天","2.38820"
"2006-12-08","1天","1.99190"
"2006-12-08","9个月","2.92660"
"2006-12-08","30天","2.66560"
"2006-12-08","6个月","2.85790"
"2006-12-08","90天","2.80960"
"2006-12-08","1年","3.00100"
"2006-12-08","7天","2.24630"
"2006-12-11","90天","2.80890"
"2006-12-11","9个月","2.92760"
"2006-12-11","14天","2.36700"
"2006-12-11","6个月","2.85980"
"2006-12-11","7天","2.24240"
"2006-12-11","1天","1.99140"
"2006-12-11","1年","3.00120"
"2006-12-11","30天","2.62700"
"2006-12-12","90天","2.80800"
"2006-12-12","9个月","2.92820"
"2006-12-12","1天","1.91810"
"2006-12-12","6个月","2.86040"
"2006-12-12","30天","2.59000"
"2006-12-12","1年","3.00130"
"2006-12-12","7天","2.21010"
"2006-12-12","14天","2.36100"
"2006-12-13","90天","2.80800"
"2006-12-13","9个月","2.92860"
"2006-12-13","6个月","2.86090"
"2006-12-13","7天","2.22830"
"2006-12-13","30天","2.58090"
"2006-12-13","14天","2.36180"
"2006-12-13","1年","3.00130"
"2006-12-13","1天","1.89310"
"2006-12-14","9个月","2.92890"
"2006-12-14","30天","2.57230"
"2006-12-14","6个月","2.86120"
"2006-12-14","90天","2.80790"
"2006-12-14","1年","3.00140"
"2006-12-14","14天","2.34640"
"2006-12-14","7天","2.06270"
"2006-12-14","1天","1.85890"
"2006-12-15","90天","2.80730"
"2006-12-15","9个月","2.92910"
"2006-12-15","14天","2.33730"
"2006-12-15","6个月","2.86150"
"2006-12-15","7天","2.04860"
"2006-12-15","1天","1.77770"
"2006-12-15","1年","3.00150"
"2006-12-15","30天","2.57670"
"2006-12-18","90天","2.80760"
"2006-12-18","9个月","2.92940"
"2006-12-18","1天","1.72470"
"2006-12-18","6个月","2.86250"
"2006-12-18","30天","2.57170"
"2006-12-18","1年","3.00160"
"2006-12-18","7天","2.02480"
"2006-12-18","14天","2.31230"
"2006-12-19","90天","2.80720"
"2006-12-19","9个月","2.92970"
"2006-12-19","6个月","2.86440"
"2006-12-19","7天","2.02220"
"2006-12-19","30天","2.56990"
"2006-12-19","14天","2.32560"
"2006-12-19","1年","3.00170"
"2006-12-19","1天","1.65660"
"2006-12-20","9个月","2.92980"
"2006-12-20","30天","2.56960"
"2006-12-20","6个月","2.86580"
"2006-12-20","90天","2.80660"
"2006-12-20","1年","3.00170"
"2006-12-20","14天","2.40400"
"2006-12-20","7天","1.97890"
"2006-12-20","1天","1.61300"
"2006-12-21","90天","2.80690"
"2006-12-21","9个月","2.92990"
"2006-12-21","14天","2.35830"
"2006-12-21","6个月","2.86690"
"2006-12-21","7天","1.90160"
"2006-12-21","1天","1.60150"
"2006-12-21","1年","3.00180"
"2006-12-21","30天","2.57030"
"2006-12-22","90天","2.80700"
"2006-12-22","9个月","2.92990"
"2006-12-22","1天","1.63110"
"2006-12-22","6个月","2.86740"
"2006-12-22","30天","2.57300"
"2006-12-22","1年","3.00190"
"2006-12-22","7天","2.05200"
"2006-12-22","14天","2.33000"
"2006-12-25","90天","2.80720"
"2006-12-25","9个月","2.93000"
"2006-12-25","7天","2.28960"
"2006-12-25","14天","2.40030"
"2006-12-25","1年","3.00190"
"2006-12-25","6个月","2.86740"
"2006-12-25","1天","1.61230"
"2006-12-25","30天","2.57120"
"2006-12-26","14天","2.48460"
"2006-12-26","1天","1.64310"
"2006-12-26","7天","2.28410"
"2006-12-26","90天","2.80730"
"2006-12-26","6个月","2.86780"
"2006-12-26","1年","3.00200"
"2006-12-26","9个月","2.93000"
"2006-12-26","30天","2.56720"
"2006-12-27","1天","1.71850"
"2006-12-27","14天","2.48170"
"2006-12-27","1年","3.00200"
"2006-12-27","90天","2.80760"
"2006-12-27","9个月","2.93000"
"2006-12-27","30天","2.58020"
"2006-12-27","6个月","2.86800"
"2006-12-27","7天","2.27850"
"2006-12-28","14天","2.37730"
"2006-12-28","1天","1.71070"
"2006-12-28","30天","2.58320"
"2006-12-28","90天","2.80790"
"2006-12-28","7天","2.07530"
"2006-12-28","6个月","2.86810"
"2006-12-28","9个月","2.93010"
"2006-12-28","1年","3.00200"
"2006-12-29","14天","2.22360"
"2006-12-29","1天","1.72030"
"2006-12-29","90天","2.80800"
"2006-12-29","9个月","2.93010"
"2006-12-29","7天","1.96410"
"2006-12-29","1年","3.00200"
"2006-12-29","6个月","2.86820"
"2006-12-29","30天","2.58520"
