期权代码,交易代码,期权简称,标的代码,类型,认购/认沽,行权方式,行权价,合约单位,到期月份,上市日,到期日,行权日,行权交收日,上市首日参考价,挂牌原因,结算方式,交易状态
10000061,510050C1506M02550,50ETF购2015年6月2550,510050.SH,ETF期权,认购,欧式,2.55,10000,2015-06,2015-02-27,2015-06-24,2015-06-24,2015-06-25,0.0979,波动加挂,实物资产,退市
10000062,510050P1506M02550,50ETF沽2015年6月2550,510050.SH,ETF期权,认沽,欧式,2.55,10000,2015-06,2015-02-27,2015-06-24,2015-06-24,2015-06-25,0.1908,波动加挂,实物资产,退市
10000063,510050C1509M02550,50ETF购2015年9月2550,510050.SH,ETF期权,认购,欧式,2.55,10000,2015-09,2015-02-27,2015-09-23,2015-09-23,2015-09-24,0.1515,波动加挂,实物资产,退市
10000064,510050P1509M02550,50ETF沽2015年9月2550,510050.SH,ETF期权,认沽,欧式,2.55,10000,2015-09,2015-02-27,2015-09-23,2015-09-23,2015-09-24,0.2221,波动加挂,实物资产,退市
10000065,510050C1503M02600,50ETF购2015年3月2600,510050.SH,ETF期权,认购,欧式,2.6,10000,2015-03,2015-03-17,2015-03-25,2015-03-25,2015-03-26,0.0059,波动加挂,实物资产,退市
10000066,510050P1503M02600,50ETF沽2015年3月2600,510050.SH,ETF期权,认沽,欧式,2.6,10000,2015-03,2015-03-17,2015-03-25,2015-03-25,2015-03-26,0.0986,波动加挂,实物资产,退市
10000067,510050C1504M02600,50ETF购2015年4月2600,510050.SH,ETF期权,认购,欧式,2.6,10000,2015-04,2015-03-17,2015-04-22,2015-04-22,2015-04-23,0.0411,波动加挂,实物资产,退市
10000068,510050P1504M02600,50ETF沽2015年4月2600,510050.SH,ETF期权,认沽,欧式,2.6,10000,2015-04,2015-03-17,2015-04-22,2015-04-22,2015-04-23,0.1346,波动加挂,实物资产,退市
10000069,510050C1506M02600,50ETF购2015年6月2600,510050.SH,ETF期权,认购,欧式,2.6,10000,2015-06,2015-03-17,2015-06-24,2015-06-24,2015-06-25,0.0897,波动加挂,实物资产,退市
10000070,510050P1506M02600,50ETF沽2015年6月2600,510050.SH,ETF期权,认沽,欧式,2.6,10000,2015-06,2015-03-17,2015-06-24,2015-06-24,2015-06-25,0.1833,波动加挂,实物资产,退市
10000071,510050C1509M02600,50ETF购2015年9月2600,510050.SH,ETF期权,认购,欧式,2.6,10000,2015-09,2015-03-17,2015-09-23,2015-09-23,2015-09-24,0.1464,波动加挂,实物资产,退市
10000072,510050P1509M02600,50ETF沽2015年9月2600,510050.SH,ETF期权,认沽,欧式,2.6,10000,2015-09,2015-03-17,2015-09-23,2015-09-23,2015-09-24,0.2242,波动加挂,实物资产,退市
10000073,510050C1503M02650,50ETF购2015年3月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2015-03,2015-03-18,2015-03-25,2015-03-25,2015-03-26,0.0035,波动加挂,实物资产,退市
10000074,510050P1503M02650,50ETF沽2015年3月2650,510050.SH,ETF期权,认沽,欧式,2.65,10000,2015-03,2015-03-18,2015-03-25,2015-03-25,2015-03-26,0.1129,波动加挂,实物资产,退市
10000075,510050C1504M02650,50ETF购2015年4月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2015-04,2015-03-18,2015-04-22,2015-04-22,2015-04-23,0.0336,波动加挂,实物资产,退市
10000076,510050P1504M02650,50ETF沽2015年4月2650,510050.SH,ETF期权,认沽,欧式,2.65,10000,2015-04,2015-03-18,2015-04-22,2015-04-22,2015-04-23,0.1469,波动加挂,实物资产,退市
10000077,510050C1506M02650,50ETF购2015年6月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2015-06,2015-03-18,2015-06-24,2015-06-24,2015-06-25,0.0866,波动加挂,实物资产,退市
10000078,510050P1506M02650,50ETF沽2015年6月2650,510050.SH,ETF期权,认沽,欧式,2.65,10000,2015-06,2015-03-18,2015-06-24,2015-06-24,2015-06-25,0.1932,波动加挂,实物资产,退市
10000079,510050C1509M02650,50ETF购2015年9月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2015-09,2015-03-18,2015-09-23,2015-09-23,2015-09-24,0.1312,波动加挂,实物资产,退市
10000080,510050P1509M02650,50ETF沽2015年9月2650,510050.SH,ETF期权,认沽,欧式,2.65,10000,2015-09,2015-03-18,2015-09-23,2015-09-23,2015-09-24,0.24,波动加挂,实物资产,退市
10000081,510050C1503M02700,50ETF购2015年3月2700,510050.SH,ETF期权,认购,欧式,2.7,10000,2015-03,2015-03-19,2015-03-25,2015-03-25,2015-03-26,0.0049,波动加挂,实物资产,退市
10000082,510050P1503M02700,50ETF沽2015年3月2700,510050.SH,ETF期权,认沽,欧式,2.7,10000,2015-03,2015-03-19,2015-03-25,2015-03-25,2015-03-26,0.0947,波动加挂,实物资产,退市
10000083,510050C1504M02700,50ETF购2015年4月2700,510050.SH,ETF期权,认购,欧式,2.7,10000,2015-04,2015-03-19,2015-04-22,2015-04-22,2015-04-23,0.0391,波动加挂,实物资产,退市
10000084,510050P1504M02700,50ETF沽2015年4月2700,510050.SH,ETF期权,认沽,欧式,2.7,10000,2015-04,2015-03-19,2015-04-22,2015-04-22,2015-04-23,0.1379,波动加挂,实物资产,退市
10000085,510050C1506M02700,50ETF购2015年6月2700,510050.SH,ETF期权,认购,欧式,2.7,10000,2015-06,2015-03-19,2015-06-24,2015-06-24,2015-06-25,0.0868,波动加挂,实物资产,退市
10000086,510050P1506M02700,50ETF沽2015年6月2700,510050.SH,ETF期权,认沽,欧式,2.7,10000,2015-06,2015-03-19,2015-06-24,2015-06-24,2015-06-25,0.1956,波动加挂,实物资产,退市
10000087,510050C1509M02700,50ETF购2015年9月2700,510050.SH,ETF期权,认购,欧式,2.7,10000,2015-09,2015-03-19,2015-09-23,2015-09-23,2015-09-24,0.1347,波动加挂,实物资产,退市
10000088,510050P1509M02700,50ETF沽2015年9月2700,510050.SH,ETF期权,认沽,欧式,2.7,10000,2015-09,2015-03-19,2015-09-23,2015-09-23,2015-09-24,0.239,波动加挂,实物资产,退市
10000089,510050C1503M02750,50ETF购2015年3月2750,510050.SH,ETF期权,认购,欧式,2.75,10000,2015-03,2015-03-23,2015-03-25,2015-03-25,2015-03-26,0.0006,波动加挂,实物资产,退市
10000090,510050P1503M02750,50ETF沽2015年3月2750,510050.SH,ETF期权,认沽,欧式,2.75,10000,2015-03,2015-03-23,2015-03-25,2015-03-25,2015-03-26,0.1152,波动加挂,实物资产,退市
10000091,510050C1504M02750,50ETF购2015年4月2750,510050.SH,ETF期权,认购,欧式,2.75,10000,2015-04,2015-03-23,2015-04-22,2015-04-22,2015-04-23,0.0368,波动加挂,实物资产,退市
10000092,510050P1504M02750,50ETF沽2015年4月2750,510050.SH,ETF期权,认沽,欧式,2.75,10000,2015-04,2015-03-23,2015-04-22,2015-04-22,2015-04-23,0.1489,波动加挂,实物资产,退市
10000093,510050C1506M02750,50ETF购2015年6月2750,510050.SH,ETF期权,认购,欧式,2.75,10000,2015-06,2015-03-23,2015-06-24,2015-06-24,2015-06-25,0.0901,波动加挂,实物资产,退市
10000094,510050P1506M02750,50ETF沽2015年6月2750,510050.SH,ETF期权,认沽,欧式,2.75,10000,2015-06,2015-03-23,2015-06-24,2015-06-24,2015-06-25,0.2039,波动加挂,实物资产,退市
10000095,510050C1509M02750,50ETF购2015年9月2750,510050.SH,ETF期权,认购,欧式,2.75,10000,2015-09,2015-03-23,2015-09-23,2015-09-23,2015-09-24,0.1352,波动加挂,实物资产,退市
10000096,510050P1509M02750,50ETF沽2015年9月2750,510050.SH,ETF期权,认沽,欧式,2.75,10000,2015-09,2015-03-23,2015-09-23,2015-09-23,2015-09-24,0.2482,波动加挂,实物资产,退市
10000097,510050C1503M02800,50ETF购2015年3月2800,510050.SH,ETF期权,认购,欧式,2.8,10000,2015-03,2015-03-24,2015-03-25,2015-03-25,2015-03-26,0.0003,波动加挂,实物资产,退市
10000098,510050P1503M02800,50ETF沽2015年3月2800,510050.SH,ETF期权,认沽,欧式,2.8,10000,2015-03,2015-03-24,2015-03-25,2015-03-25,2015-03-26,0.1251,波动加挂,实物资产,退市
10000099,510050C1504M02800,50ETF购2015年4月2800,510050.SH,ETF期权,认购,欧式,2.8,10000,2015-04,2015-03-24,2015-04-22,2015-04-22,2015-04-23,0.04,波动加挂,实物资产,退市
10000100,510050P1504M02800,50ETF沽2015年4月2800,510050.SH,ETF期权,认沽,欧式,2.8,10000,2015-04,2015-03-24,2015-04-22,2015-04-22,2015-04-23,0.1633,波动加挂,实物资产,退市
10000101,510050C1506M02800,50ETF购2015年6月2800,510050.SH,ETF期权,认购,欧式,2.8,10000,2015-06,2015-03-24,2015-06-24,2015-06-24,2015-06-25,0.087,波动加挂,实物资产,退市
10000102,510050P1506M02800,50ETF沽2015年6月2800,510050.SH,ETF期权,认沽,欧式,2.8,10000,2015-06,2015-03-24,2015-06-24,2015-06-24,2015-06-25,0.2129,波动加挂,实物资产,退市
10000103,510050C1509M02800,50ETF购2015年9月2800,510050.SH,ETF期权,认购,欧式,2.8,10000,2015-09,2015-03-24,2015-09-23,2015-09-23,2015-09-24,0.134,波动加挂,实物资产,退市
10000104,510050P1509M02800,50ETF沽2015年9月2800,510050.SH,ETF期权,认沽,欧式,2.8,10000,2015-09,2015-03-24,2015-09-23,2015-09-23,2015-09-24,0.2555,波动加挂,实物资产,退市
10000105,510050C1505M02500,50ETF购2015年5月2500,510050.SH,ETF期权,认购,欧式,2.5,10000,2015-05,2015-03-26,2015-05-27,2015-05-27,2015-05-28,0.1744,到期加挂,实物资产,退市
